ID,Type,Titre,Résumé,ISBN,Annee,Pages,Langues,Nouveautée,Couverture-bnum,Nom auteur,Prénom Auteur,Particule - auteur,Nom auteur complet
11,Policier suspens thriller,Psycho killer,"Le chirurgien Trevor Lucas est
  accusé de quatre meurtres. Il affirme que son bras gauche est possédé par le
  diable.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=11.webp,ABLOW,Keith,,Keith ABLOW
12,Ethnographie / Biographie,Armen,"Récit poétique de la vie de gardien
  du phare d'Ar-Men, surnommé 'l'enfer des enfers', au large de l'île de Sein.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=12.webp,ABRAHAM,Jean-Pierre,,Jean-Pierre ABRAHAM
13,Littérature étrangère,Qu'est devenue Dulce Veiga ?,"Un journaliste recherche une
  chanteuse disparue dans le São Paulo des années 80, explorant les marges de
  la société.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=13.webp,ABREU,Caio Fernando,,Caio Fernando ABREU
14,Théatre,Jean de la lune,"Comédie sentimentale où Jean, homme
  naïf, est confronté à l'inconstance de sa femme et aux manigances de son
  beau-frère.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=14.webp,ACHARD,Marcel,,Marcel ACHARD
15,Sciences ,Histoire du climat,"Analyse de l'évolution du climat
  depuis le Big Bang jusqu'aux enjeux contemporains du réchauffement
  climatique.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=15.webp,ACOT,Pascal,,Pascal ACOT
16,Littérature française,Des vents contraires,"Paul, abandonné par sa femme,
  retourne à Saint-Malo avec ses enfants pour reconstruire sa vie.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=16.webp,ADAM,Olivier,,Olivier ADAM
17,Littérature française,Le coeur régulier,"Sarah, après la mort de son frère,
  part au Japon pour comprendre son geste et trouve un sens à sa propre vie.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=17.webp,ADAM,Olivier,,Olivier ADAM
18,Littérature française,Les lisières,"Paul Steiner, écrivain en crise,
  retourne dans sa banlieue natale et confronte son passé et ses blessures.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=18.webp,ADAM,Olivier,,Olivier ADAM
19,Littérature française,Peine perdue,"Dans une station balnéaire, une
  agression et une tempête bouleversent la vie des habitants en morte-saison.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=19.webp,ADAM,Olivier,,Olivier ADAM
20,Littérature française,La renverse,"Marie, en quête de sens, s'engage
  auprès de réfugiés kosovars, délaissant sa famille pour se consacrer à leur
  survie.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=20.webp,ADAM,Olivier,,Olivier ADAM
21,Littérature française,A l'abri de rien,"Antoine, 19 ans, erre entre lycée et
  centre commercial, cherchant sa place dans une société qui le dépasse.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=21.webp,ADAM,Olivier,,Olivier ADAM
22,Littérature française,A l’Ouest,"Un homme revient à Étretat, lieu du
  suicide de sa mère, pour affronter ses souvenirs et comprendre son passé.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=22.webp,ADAM,Olivier,,Olivier ADAM
23,Littérature française,Falaises,"Recueil de nouvelles sur des
  personnages en quête de chaleur humaine durant l'hiver.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=23.webp,ADAM,Olivier,,Olivier ADAM
24,Littérature française,Passer l’hiver,"Antoine, employé des pompes funèbres
  le jour et boxeur le soir, lutte contre ses démons intérieurs.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=24.webp,ADAM,Olivier,,Olivier ADAM
25,Littérature française,Poids léger,"À Bucarest, une vieille femme se
  remémore sa vie et les bouleversements de la Roumanie du XXe siècle.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=25.webp,ADAM,Olivier,,Olivier ADAM
26,Littérature étrangère,Une matinée perdue,"Un homme, après un séjour en Égypte,
  assiste à une pièce de théâtre et critique la société qui l'entoure.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=26.webp,ADAMESTEANU,Gabriela,,Gabriela ADAMESTEANU
27,Littérature française,Fanfare,"Ifemelu, une Nigériane, émigre aux
  États-Unis et explore les questions de race, d'identité et d'amour.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=27.webp,ADELY,Emmanuel,,Emmanuel ADELY
28,Littérature étrangère,Americanah,"Balram Halwai raconte son ascension
  sociale en Inde, de chauffeur à entrepreneur, dans une société corrompue.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=28.webp,ADICHIE,Chimamanda Ngozi,,Chimamanda Ngozi ADICHIE
29,Littérature étrangère,Le tigre blanc,"Analyse des conséquences des
  attentats du 11 septembre 2001 sur la géopolitique mondiale.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=29.webp,ADIGA,Aravind,,Aravind ADIGA
30,Politique,J’ai vu finir le monde ancien,"Analyse des conséquences des
  attentats du 11 septembre 2001 sur la géopolitique mondiale.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=30.webp,ADLER,Alexandre,,Alexandre ADLER
31,Psychologie,L'éducation des enfants,"Guide pratique basé sur la
  psychologie individuelle, abordant l'adaptation sociale et le complexe
  d'infériorité pour aider les enfants à développer confiance et estime de soi.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=31.webp,ADLER,Alfred,,Alfred ADLER
32,Biographie,Françoise,"Biographie de Françoise Giroud,
  journaliste et femme politique française, mettant en lumière sa passion, ses
  combats, et les zones d'ombre de sa vie.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=32.webp,ADLER,Laure,,Laure ADLER
33,Biographie,L'Insoumise –Simone Weil,"Biographie de Simone Weil,
  philosophe engagée, retraçant son parcours intellectuel et spirituel.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=33.webp,ADLER,Laure,,Laure ADLER
34,Biographie,Marguerite Duras,"Portrait de Marguerite Duras,
  écrivaine emblématique, explorant sa vie et son œuvre.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=34.webp,ADLER,Laure,,Laure ADLER
35,Théatre,A ce soir,"Réflexion intime sur la mort et le
  deuil, à travers le récit d'une femme confrontée à la perte.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=35.webp,ADLER,Laure,,Laure ADLER
36,Policier suspens thriller,Délivrance,"Troisième enquête du Département V :
  une bouteille à la mer révèle un appel au secours datant de plusieurs années.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=36.webp,ADLER-OLSEN,Jussi,,Jussi ADLER-OLSEN
37,Policier suspens thriller,Miséricorde,"Première enquête du Département V :
  Carl Mørck rouvre une affaire de disparition non résolue.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=37.webp,ADLER-OLSEN,Jussi,,Jussi ADLER-OLSEN
38,Policier suspens thriller,Profanation,"Deuxième enquête du Département V :
  une affaire de meurtre dans un internat élitiste refait surface.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=38.webp,ADLER-OLSEN,Jussi,,Jussi ADLER-OLSEN
39,Policier suspens thriller,Dossier 64,"Quatrième enquête du Département V :
  des disparitions mystérieuses liées à une institution pour femmes.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=39.webp,ADLER-OLSEN,Jussi,,Jussi ADLER-OLSEN
40,Histoire,"Procès Barbie, l'Agence France Presse raconte","Compte rendu du procès de Klaus
  Barbie, criminel nazi, par l'Agence France Presse.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=40.webp,AFP,,,AFP
41,Philosophie,Politique des sexes,"Essai sur la différence des sexes et
  la parité dans la société contemporaine.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=41.webp,AGACINSKI,Sylviane,,Sylviane AGACINSKI
42,Littérature étrangère,Prends garde,"Roman historique sur la révolte des
  ouvriers agricoles dans les Pouilles en 1946.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=42.webp,AGUS,M. – CASTELLINA L.,,M. – CASTELLINA L. AGUS
43,Littérature étrangère,Battement d'ailes,"Sur une colline en Sardaigne, Madame
  et Milena vivent dans une maison d'hôtes menacée par un projet touristique.
  Entre réalité et imaginaire, elles résistent à la modernité.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=43.webp,AGUS,Milena,,Milena AGUS
44,Littérature étrangère,La comtesse de ricotta,"Trois sœurs issues d'une famille
  noble déchue tentent de préserver les apparences dans leur demeure à
  Cagliari, entre rêves et désillusions.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=44.webp,AGUS,Milena,,Milena AGUS
45,Littérature étrangère,Mal de pierres,"Une femme sarde, mariée par
  convenance, découvre l'amour lors d'une cure thermale sur le continent. Un
  récit sur le désir et la liberté.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=45.webp,AGUS,Milena,,Milena AGUS
46,Littérature étrangère,Mon voisin,"Une femme solitaire imagine le
  suicide parfait, mais sa rencontre avec un voisin va bouleverser sa vision de
  la vie.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=46.webp,AGUS,Milena,,Milena AGUS
47,Littérature étrangère,Quand le requin dort,"Dans une famille sarde atypique, une
  adolescente vit une liaison secrète, révélant les non-dits et les complexités
  des relations familiales.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=47.webp,AGUS,Milena,,Milena AGUS
48,Littérature étrangère,Sens dessus dessous,"Dans un immeuble en bord de mer, la
  rencontre entre Anna, femme de ménage, et Mr. Johnson, violoniste célèbre,
  dévoile des rêves inavoués.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=48.webp,AGUS,Milena,,Milena AGUS
49,Littérature étrangère,"Mexico, midi moins cinq","Dans le Mexico des années 60, un
  adolescent explore la ville et ses excès, reflet d'une jeunesse en quête de
  liberté.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=49.webp,AGUSTIN,José,,José AGUSTIN
50,Littérature étrangère,La guerre des gymnases,"À Buenos Aires, l'arrivée d'un
  acteur célèbre dans un gymnase bouleverse la routine des habitués,
  déclenchant une série d'événements absurdes.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=50.webp,AIRA,César,,César AIRA
51,Littérature étrangère,Varamo,"En une nuit à Colón en 1923, un
  modeste fonctionnaire panaméen, après avoir reçu un salaire en faux billets,
  écrit un chef-d'œuvre de la poésie moderne.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=51.webp,AIRA,César,,César AIRA
52,Littérature étrangère,Djamilia,"Pendant la Seconde Guerre mondiale,
  au Kirghizistan, Djamilia, une jeune femme mariée, tombe amoureuse d'un
  soldat blessé. Ce récit poétique explore l'amour et la liberté.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=52.webp,AITMATOV,Tchinghiz,,Tchinghiz AITMATOV
53,Littérature française,La vie devant soi,"Momo, un jeune garçon arabe, vit
  chez Madame Rosa, une ancienne prostituée juive rescapée d'Auschwitz.
  Ensemble, ils affrontent les défis de la vie dans le quartier de Belleville à
  Paris.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=53.webp,AJAR,Emile,,Emile AJAR
54,Littérature française,Le jour où Nina Simone a cessé de chanter,"Autobiographie de Darina Al-Joundi,
  actrice libanaise, qui retrace son enfance à Beyrouth pendant la guerre
  civile et son combat pour la liberté en France.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=54.webp,AL-JOUNDI,Darina,,Darina AL-JOUNDI
55,Littérature étrangère,"Alexandrie, terre de safran","Récit poétique et introspectif d'un
  adolescent dans l'Alexandrie des années 1930-1940, mêlant souvenirs,
  sensations et réflexions sur l'identité.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=55.webp,AL-KHARRAT,Edouard,,Edouard AL-KHARRAT
56,Littérature française,La guerre des banlieues n'aura pas lieu,"Abd Al Malik, rappeur et écrivain,
  partage son parcours de vie, de la délinquance à la spiritualité soufie,
  offrant une vision d'espoir pour les banlieues françaises.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=56.webp,AL-MALIK,Abd,,Abd AL-MALIK
57,Littérature française,Le grand Meaulnes,"Augustin Meaulnes, un adolescent
  rêveur, découvre un domaine mystérieux et tombe amoureux d'Yvonne. Ce roman
  explore les thèmes de l'amitié, de l'amour et de la quête de l'idéal.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=57.webp,ALAIN-FOURNIER,,,ALAIN-FOURNIER
58,Biographie,Monsieur Proust,"Céleste Albaret, gouvernante de
  Marcel Proust, livre ses souvenirs sur la vie quotidienne de l'écrivain,
  offrant un regard intime sur son processus créatif.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=58.webp,ALBARET,Céleste,,Céleste ALBARET
59,Policier suspens thriller,Le poulpe : les pourritures célestes,"Le Poulpe enquête sur la mort
  suspecte d'une actrice tombée d'une falaise à Étretat, mêlant humour et
  critique sociale.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=59.webp,ALBEDO,,,ALBEDO
60,Science-fiction,Supertoys - Intelligence artificielle et autres histoires du futur,"Recueil de nouvelles explorant les
  limites de l'intelligence artificielle et les relations entre humains et
  machines, dont la célèbre 'Supertoys' adaptée en film par Spielberg.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=60.webp,ALDISS,Brian,,Brian ALDISS
61,Science-fiction,Frankenstein délivré,"Joe Bodenland, un homme du XXIe
  siècle, voyage dans le temps et rencontre Mary Shelley, Lord Byron et le
  docteur Frankenstein, remettant en question les limites de la science.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=61.webp,ALDISS,Brian,,Brian ALDISS
62,Science-fiction,"Helliconia, l'été","Deuxième tome de la trilogie
  d'Helliconia, ce roman explore l'apogée de la civilisation humaine sur la
  planète Helliconia, confrontée à des changements climatiques extrêmes.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=62.webp,ALDISS,Brian,,Brian ALDISS
63,Science-fiction,L'hiver d'Helliconia,"Dernier volet de la trilogie,
  l'hiver s'installe sur Helliconia, mettant à l'épreuve les sociétés humaines
  et leur capacité à survivre dans des conditions hostiles.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=63.webp,ALDISS,Brian,,Brian ALDISS
64,Science-fiction,Le printemps d'Helliconia,"Premier tome de la trilogie, il
  décrit la renaissance de la vie sur Helliconia après un long hiver, marquant
  le début d'un nouveau cycle pour ses habitants.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=64.webp,ALDISS,Brian,,Brian ALDISS
65,Littérature étrangère,Le putois,"Roman allégorique sur la Russie
  post-soviétique, suivant un personnage marginal surnommé 'le putois' dans un
  monde en mutation.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=65.webp,ALECHOVSKI,Piotr,,Piotr ALECHOVSKI
66,Littérature française,Le cœur de Marguerite,"Récit introspectif d'un homme
  évoquant sa relation avec Marguerite, une femme mariée, à travers souvenirs
  et réflexions sur l'amour et l'absence.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=66.webp,ALEXAKIS,Vassilis,,Vassilis ALEXAKIS
67,Ethnographie / Biographie,Le Horsain(vivre et survivre en Pays de Caux),"Témoignage sur la vie rurale en
  Normandie, abordant les défis de l'intégration et de la survie dans un milieu
  traditionnel.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=67.webp,ALEXANDRE,Bernard,,Bernard ALEXANDRE
68,Théatre,La fin de l’Homme rouge,"Recueil de témoignages sur la chute
  de l'Union soviétique, explorant les espoirs et désillusions des citoyens
  face à ce bouleversement historique.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=68.webp,ALEXIEVITCH,Svetlana,,Svetlana ALEXIEVITCH
69,Théatre,La guerre n'a pas un visage de femme,"Compilation de récits de femmes
  soviétiques ayant participé à la Seconde Guerre mondiale, offrant une
  perspective intime sur le conflit.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=69.webp,ALEXIEVITCH,Svetlana,,Svetlana ALEXIEVITCH
70,Théatre,"La supplication -Tchernobyl, chroniques du monde après l’apocalypse","Témoignages poignants de survivants
  de la catastrophe de Tchernobyl, révélant les conséquences humaines et
  sociales du désastre nucléaire.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=70.webp,ALEXIEVITCH,Svetlana,,Svetlana ALEXIEVITCH
71,Littérature française,"Amours, délices et orgues","Recueil de contes humoristiques et
  satiriques, illustrant l'esprit absurde et le style inimitable d'Alphonse
  Allais.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=71.webp,ALLAIS,Alphonse,,Alphonse ALLAIS
72,Littérature française,L'affaire Blaireau,"Dans le paisible village de
  Montpaillard, une erreur judiciaire met en lumière les travers de la justice
  et de la société provinciale.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=72.webp,ALLAIS,Alphonse,,Alphonse ALLAIS
73,Littérature française,Œuvres posthumes - 1877 à 1905,"Recueil des meilleurs contes,
  fantaisies et chroniques d'Alphonse Allais, illustrant son humour absurde et
  sa verve satirique.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=73.webp,ALLAIS,Alphonse,,Alphonse ALLAIS
74,Politique,Toute vérité est bonne à dire,"Témoignage de Claude Allègre sur son
  expérience ministérielle, offrant une réflexion sur la démocratie française.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=74.webp,ALLEGRE,Claude,,Claude ALLEGRE
75,Biographie,Les souvenirs et les regrets aussi...,"Autobiographie de Catherine
  Allégret, évoquant sa vie familiale et professionnelle, marquée par des
  figures célèbres du cinéma.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=75.webp,ALLEGRET,Catherine,,Catherine ALLEGRET
76,Théatre,Adultères,"Trois pièces en un acte explorant
  avec humour et finesse les complexités des relations humaines et des
  infidélités.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=76.webp,ALLEN,Woody,,Woody ALLEN
77,Littérature étrangère,D'amour et d'ombre,"Dans un pays d'Amérique latine sous
  dictature, une journaliste et un photographe découvrent une fosse commune,
  mettant leur vie en danger.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=77.webp,ALLENDE,Isabel,,Isabel ALLENDE
78,Littérature étrangère,La cité de dieux sauvages,"Le jeune Alexander Cold part en
  Amazonie avec sa grand-mère journaliste à la recherche d'une créature
  mystérieuse.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=78.webp,ALLENDE,Isabel,,Isabel ALLENDE
79,Littérature étrangère,La maison aux esprits,"Saga familiale mêlant réalisme et
  fantastique, retraçant l'histoire politique et sociale d'un pays ressemblant
  au Chili.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=79.webp,ALLENDE,Isabel,,Isabel ALLENDE
80,Littérature étrangère,L’histoire de Bone,"Ruth Anne 'Bone' Boatwright grandit
  dans une famille pauvre du Sud des États-Unis, confrontée à la violence et à
  l'inceste.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=80.webp,ALLISON,Dorothy,,Dorothy ALLISON
81,Littérature étrangère,Retour à Cayro,"Delia Byrd, ancienne chanteuse,
  retourne dans sa ville natale avec sa fille, affrontant son passé et ses
  choix de vie.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=81.webp,ALLISON,Dorothy,,Dorothy ALLISON
82,Littérature étrangère,Après l’orage,"Dans un garage isolé du Chaco
  argentin, trois hommes vivent une existence monotone. L'arrivée d'une femme
  mystérieuse bouleverse leur routine et ravive des tensions enfouies.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=82.webp,ALMADA,Selva,,Selva ALMADA
83,Sciences humaines,Le poids des apparences,"Analyse sociologique sur l'impact de
  l'apparence physique dans la réussite sociale, professionnelle et amoureuse,
  mettant en lumière les discriminations liées au physique.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=83.webp,AMADIEU,Jean-François,,Jean-François AMADIEU
84,Biographie,Conversations avec Alice Raillard,"Recueil d'entretiens entre Jorge
  Amado et sa traductrice Alice Raillard, offrant un regard intime sur l'œuvre
  et la vie de l'écrivain brésilien.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=84.webp,AMADO,Jorge,,Jorge AMADO
85,Littérature étrangère,Cacao,"Roman social décrivant les
  conditions de vie des ouvriers dans les plantations de cacao au Brésil,
  dénonçant l'exploitation et l'injustice sociale.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=85.webp,AMADO,Jorge,,Jorge AMADO
